File	Negative	Positive	ratio neg/pos
Citigroup_2019-10-08.csv	109	77	1.41558
Citigroup_2019-10-09.csv	254	46	5.52174
Citigroup_2019-10-10.csv	112	52	2.15385
Citigroup_2019-10-11.csv	115	113	1.01770
Citigroup_2019-10-12.csv	94	53	1.77358
Citigroup_2019-10-13.csv	193	67	2.88060
Citigroup_2019-10-14.csv	127	54	2.35185
Citigroup_2019-10-15.csv	338	335	1.00896
Citigroup_2019-10-16.csv	230	121	1.90083
Citigroup_2019-10-17.csv	141	101	1.39604
Citigroup_2019-10-18.csv	98	69	1.42029
Citigroup_2019-10-19.csv	100	36	2.77778
Citigroup_2019-10-20.csv	85	35	2.42857
goldmansachs_2019-10-10.csv	84	140	0.60000
goldmansachs_2019-10-11.csv	104	96	1.08333
goldmansachs_2019-10-12.csv	55	155	0.35484
goldmansachs_2019-10-13.csv	82	97	0.84536
goldmansachs_2019-10-14.csv	115	122	0.94262
goldmansachs_2019-10-15.csv	188	182	1.03297
goldmansachs_2019-10-16.csv	153	166	0.92169
goldmansachs_2019-10-17.csv	110	227	0.48458
goldmansachs_2019-10-18.csv	114	215	0.53023
goldmansachs_2019-10-19.csv	195	240	0.81250
goldmansachs_2019-10-20.csv	152	483	0.31470
morganstanley_2019-10-08.csv	9	34	0.26471
morganstanley_2019-10-09.csv	65	76	0.85526
morganstanley_2019-10-10.csv	72	195	0.36923
morganstanley_2019-10-11.csv	110	299	0.36789
morganstanley_2019-10-12.csv	279	59	4.72881
morganstanley_2019-10-13.csv	23	45	0.51111
morganstanley_2019-10-14.csv	174	170	1.02353
morganstanley_2019-10-15.csv	40	160	0.25000
morganstanley_2019-10-16.csv	51	70	0.72857
morganstanley_2019-10-17.csv	157	138	1.13768
morganstanley_2019-10-18.csv	76	92	0.82609
morganstanley_2019-10-19.csv	50	44	1.13636
morganstanley_2019-10-20.csv	35	37	0.94595